연월일,시분초,온도,습도,강수량,풍향
2023-06-29,12:39:09,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:40:09,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:41:09,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:42:09,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:43:09,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:44:09,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:45:09,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:46:37,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:47:37,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:48:37,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:49:37,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
